"TS0265",1483.1579666985256,-284884.62743661535,45.88007009757543,"LIMPARA"
"TS0264",1483.1877012785249,-284882.7477190472,45.82194293879824,"LIMPARA"
"TS0263",1483.207522544901,-284881.0546355042,45.83594255164383,"LIMPARA"
"TS0262",1481.8371890307699,-284880.8683286429,45.814170375624,"LIMPARA"
"TS0261",1481.8872554053441,-284880.50849538966,45.873448735748624,I"
"TS0260",1482.9838149521283,-284880.47379704815,45.89127206603401,I"
"TS0259",1484.6196592696099,-284879.88622484636,45.88212851474663,I"
"TS0258",1484.6198858322907,-284879.88523521234,45.88243482776421,I"
"TS0257",1494.2559326383882,-284873.23157534393,45.60285839122413,"LIMTAP"
"TS0256",1493.8514706446842,-284872.7376398883,45.616570847716716,"LIMTAP"
"TS0255",1493.6164973877308,-284872.6112647226,45.59409812108641,"LIMTAP"
"TS0254",1492.8990757112394,-284875.4812194073,45.693858545893946,"LIMTAP"
"TS0253",1492.5777920980918,-284877.573776662,45.71383397327951,"LIMTAP"
"TS0252",1491.7648465865861,-284879.5520822158,45.748322255134184,"LIMTAP"
"TS0251",1489.7004924115001,-284882.0969582313,45.83056889662505,"LIMTAP"
"TS0250",1487.1127398632236,-284883.9955619699,45.87830462215876,"LIMTAP"
"TS0249",1484.736869351236,-284884.49777286616,45.85242777926751,"LIMTAP"
"TS0248",1483.243617751288,-284884.65709012613,45.88151057125557,"LIMTAP"
"TS0247",1483.2270833509588,-284880.9785795464,45.83873166399181,"LIMTAP"
"TS0246",1484.6088145976314,-284880.50048811175,45.82892793295492,"LIMTAP"
"TS0245",1486.6249898964975,-284879.1229096892,45.80965226894488,"LIMTAP"
"TS0244",1488.022759656406,-284877.35248118726,45.778291122842425,"LIMTAP"
"TS0243",1488.3324671996243,-284875.65790827817,45.75738220025435,"LIMTAP"
"TS0242",1483.5737069425647,-284878.7992669304,45.86075533058821,"CANDSC"
"TS0241",1484.3930862474074,-284878.914117789,45.84458718487473,"LIMTAP"
"TS0240",1482.2779337638224,-284876.4503823982,45.74660917552552,"LIMTAP"
"TS0239",1494.3535805357792,-284876.2195363435,45.86354510922473,"ARV"
"TS0238",1494.293974846645,-284876.011603658,45.844896101635555,"ARV"
"TS0237",1494.5256399631007,-284875.8643636137,45.91271579396977,"ARV"
"TS0236",1487.8602910512277,-284884.2130866345,45.96069948396777,"CANDSC"
"TS0235",1486.3067503493069,-284909.14220297296,44.858216731537105,"SOL"
"TS0234",1490.491068919382,-284901.1908708306,45.224776776012526,"BANCO"
"TS0233",1491.1011203101818,-284901.3972413399,45.20361236504648,"BANCO"
"TS0232",1490.5234924143444,-284903.32167652523,45.1517514611049,"BANCO"
"TS0231",1493.204525015648,-284905.1933955963,45.052637914876115,"MD"
"TS0230",1493.2906450579871,-284905.6478590679,45.291172162074155,"CASAMUROSC"
"TS0229",1491.3386863344904,-284904.99023324717,45.04681602223893,"ARV"
"TS0228",1491.4190930899417,-284904.8254531359,45.13199907872936,"ARV"
"TS0227",1491.5591073387081,-284904.8401830414,45.11084535534361,"ARV"
"TS0226",1486.9190772345742,-284907.6486247737,44.84026206940264,"GRELHA"
"TS0225",1484.2191967342835,-284908.43226791715,44.80443198708166,"GRELHA"
"TS0224",1484.0982361680576,-284908.22517095436,44.79554130850618,"GRELHA"
"TS0223",1482.8964024232307,-284905.0165384229,44.99299812663518,"COTA"
"TS0222",1479.7139035202006,-284903.32342055696,44.57567721358499,I"
"TS0221",1480.513774598202,-284905.589341114,44.60224685431501,I"
"TS0220",1481.3454356240827,-284901.6131252442,44.84372339835571,I"
"TS0219",1480.9408755961158,-284900.2745613389,44.682848379661664,I"
"TS0218",1480.0349685422443,-284898.8174625971,44.589848542377425,I"
"TS0217",1478.2791986459415,-284897.90789384296,44.387587261721755,I"
"TS0216",1478.4812079490803,-284897.3023042483,44.055233727034505,I"
"TS0215",1479.9162636849862,-284898.04971784935,44.417660361511714,I"
"TS0214",1481.091900208602,-284898.9342781473,44.67405924352135,I"
"TS0213",1481.766015656858,-284900.4232547829,44.890463595269,I"
"TS0212",1482.4962318675973,-284901.63178133767,45.00431955960586,I"
"TS0211",1481.8797043270006,-284901.5927515515,45.079706478883516,"PIN"
"TS0210",1482.152021317936,-284901.6628271395,45.115410333073356,"PIN"
"TS0209",1482.3667808654045,-284901.9731966151,45.06571642790734,"PIN"
"TS0208",1482.7438597132516,-284900.7164931676,44.93644531241181,F"
"TS0207",1483.8043389684892,-284899.5675871694,44.923042824404696,F"
"TS0206",1483.1086166069183,-284898.75988019217,44.81611574157339,F"
"TS0205",1482.1581410019849,-284899.88243365794,44.802790897854806,F"
